Question,Answers
To what extent do you feel guilty right now?,0: Not at all 
Happy?,3
Confident?,4
Stressed?,3
Excited?,6
Frustrated?,3
Proud?,9
Please select the player you think got the MOST coins,Player 1 (You)
Overall, how fair was this game?,8
How much did you enjoy playing this game?,6
How likely are you to recommend this game to a friend?,10: Extremely
