tick,coins left,player input,player coins,e1 coins,e2 coins,e3 coins,player pos,e1 pos,e2 pos,e3 pos,
1,29,,0,0,1,0,(360, 225),0,0,1,0,(1079.2928932188136, 224.29289321881345),(360.70710678118655, 675.7071067811866),(1079.2928932188136, 675.7071067811866),
2,29,,0,0,1,0,(360, 225),0,0,1,0,(1078.5857864376271, 223.5857864376269),(361.4142135623731, 676.4142135623731),(1078.5857864376271, 676.4142135623731),
3,29,,0,0,1,0,(360, 225),0,0,1,0,(1077.8786796564407, 222.87867965644034),(362.12132034355966, 677.1213203435597),(1077.8786796564407, 677.1213203435597),
4,29,,0,0,1,0,(360, 225),0,0,1,0,(1077.1715728752542, 222.1715728752538),(362.8284271247462, 677.8284271247462),(1077.1715728752542, 677.8284271247462),
5,29,,0,0,1,0,(360, 225),0,0,1,0,(1076.4644660940678, 221.46446609406723),(363.53553390593277, 678.5355339059328),(1076.4644660940678, 678.5355339059328),
6,29,,0,0,1,0,(360, 225),0,0,1,0,(1075.7573593128814, 220.75735931288068),(364.2426406871193, 679.2426406871193),(1075.7573593128814, 679.2426406871193),
7,29,,0,0,1,0,(360, 225),0,0,1,0,(1075.050252531695, 220.05025253169413),(364.9497474683059, 679.9497474683059),(1075.050252531695, 679.9497474683059),
8,29,,0,0,1,0,(360, 225),0,0,1,0,(1074.3431457505085, 219.34314575050757),(365.6568542494924, 680.6568542494924),(1074.3431457505085, 680.6568542494924),
9,29,,0,0,1,0,(360, 225),0,0,1,0,(1073.636038969322, 218.63603896932102),(366.363961030679, 681.363961030679),(1073.636038969322, 681.363961030679),
10,29,,0,0,1,0,(360, 225),0,0,1,0,(1072.9289321881356, 217.92893218813447),(367.07106781186553, 682.0710678118655),(1072.9289321881356, 682.0710678118655),
11,29,,0,0,1,0,(360, 225),0,0,1,0,(1072.2218254069492, 217.22182540694791),(367.7781745930521, 682.7781745930521),(1072.2218254069492, 682.7781745930521),
12,29,,0,0,1,0,(360, 225),0,0,1,0,(1071.5147186257627, 216.51471862576136),(368.48528137423864, 683.4852813742386),(1071.5147186257627, 683.4852813742386),
13,29,,0,0,1,0,(360, 225),0,0,1,0,(1070.8076118445763, 215.8076118445748),(369.1923881554252, 684.1923881554252),(1070.8076118445763, 684.1923881554252),
14,29,,0,0,1,0,(360, 225),0,0,1,0,(1070.1005050633898, 215.10050506338825),(369.89949493661175, 684.8994949366117),(1070.1005050633898, 684.8994949366117),
15,29,,0,0,1,0,(360, 225),0,0,1,0,(1069.3933982822034, 214.3933982822017),(370.6066017177983, 685.6066017177983),(1069.3933982822034, 685.6066017177983),
16,29,,0,0,1,0,(360, 225),0,0,1,0,(1068.686291501017, 213.68629150101515),(371.31370849898485, 686.3137084989849),(1068.686291501017, 686.3137084989849),
17,29,,0,0,1,0,(360, 225),0,0,1,0,(1067.9791847198305, 212.9791847198286),(372.0208152801714, 687.0208152801714),(1067.9791847198305, 687.0208152801714),
18,29,,0,0,1,0,(360, 225),0,0,1,0,(1067.272077938644, 212.27207793864204),(372.72792206135796, 687.727922061358),(1067.272077938644, 687.727922061358),
19,29,,0,0,1,0,(360, 225),0,0,1,0,(1066.5649711574576, 211.5649711574555),(373.4350288425445, 688.4350288425445),(1066.5649711574576, 688.4350288425445),
20,29,,0,0,1,0,(360, 225),0,0,1,0,(1065.8578643762712, 210.85786437626894),(374.14213562373106, 689.1421356237311),(1065.8578643762712, 689.1421356237311),
21,29,,0,0,1,0,(360, 225),0,0,1,0,(1065.1507575950848, 210.15075759508238),(374.8492424049176, 689.8492424049176),(1065.1507575950848, 689.8492424049176),
22,29,,0,0,1,0,(360, 225),0,0,1,0,(1064.4436508138983, 209.44365081389583),(375.55634918610417, 690.5563491861042),(1064.4436508138983, 690.5563491861042),
23,29,,0,0,1,0,(360, 225),0,0,1,0,(1063.736544032712, 208.73654403270928),(376.2634559672907, 691.2634559672907),(1063.736544032712, 691.2634559672907),
24,29,,0,0,1,0,(360, 225),0,0,1,0,(1063.0294372515255, 208.02943725152272),(376.9705627484773, 691.9705627484773),(1063.0294372515255, 691.9705627484773),
25,29,,0,0,1,0,(360, 225),0,0,1,0,(1062.322330470339, 207.32233047033617),(377.67766952966383, 692.6776695296638),(1062.322330470339, 692.6776695296638),
26,29,,0,0,1,0,(360, 225),0,0,1,0,(1061.6152236891526, 206.61522368914962),(378.3847763108504, 693.3847763108504),(1061.6152236891526, 693.3847763108504),
27,29,,0,0,1,0,(360, 225),0,0,1,0,(1060.9081169079661, 205.90811690796306),(379.09188309203694, 694.0918830920369),(1060.9081169079661, 694.0918830920369),
28,29,,0,0,1,0,(360, 225),0,0,1,0,(1060.2010101267797, 205.2010101267765),(379.7989898732235, 694.7989898732235),(1060.2010101267797, 694.7989898732235),
29,29,,0,0,1,0,(360, 225),0,0,1,0,(1059.4939033455933, 204.49390334558996),(380.50609665441004, 695.50609665441),(1059.4939033455933, 695.50609665441),
30,29,sd,0,0,1,0,(360.70710678118655, 225.70710678118655),0,0,1,0,(1058.7867965644068, 203.7867965644034),(381.2132034355966, 696.2132034355966),(1058.7867965644068, 696.2132034355966),
31,29,sd,0,0,1,0,(361.4142135623731, 226.4142135623731),0,0,1,0,(1058.0796897832204, 203.07968978321685),(381.92031021678315, 696.9203102167832),(1058.0796897832204, 696.9203102167832),
32,29,sd,0,0,1,0,(362.12132034355966, 227.12132034355966),0,0,1,0,(1057.372583002034, 202.3725830020303),(382.6274169979697, 697.6274169979697),(1057.372583002034, 697.6274169979697),
